ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Type
GO:0010632	regulation of epithelial cell migration	3/41	295/18870	0,026038454	0,17147337	0,13039224	2260/498/4851	3	BP
GO:0006650	glycerophospholipid metabolic process	3/41	298/18870	0,026724606	0,17147337	0,13039224	284098/5159/283748	3	BP
GO:0051054	positive regulation of DNA metabolic process	3/41	298/18870	0,026724606	0,17147337	0,13039224	4436/672/5159	3	BP
GO:0034502	protein localization to chromosome	2/41	119/18870	0,027555377	0,17147337	0,13039224	675/4436	2	BP
GO:0002566	somatic diversification of immune receptors via somatic mutation	1/41	13/18870	0,027889335	0,17147337	0,13039224	4436	1	BP
GO:0003174	mitral valve development	1/41	13/18870	0,027889335	0,17147337	0,13039224	4851	1	BP
GO:0006787	porphyrin-containing compound catabolic process	1/41	13/18870	0,027889335	0,17147337	0,13039224	4363	1	BP
GO:0033015	tetrapyrrole catabolic process	1/41	13/18870	0,027889335	0,17147337	0,13039224	4363	1	BP
GO:0042670	retinal cone cell differentiation	1/41	13/18870	0,027889335	0,17147337	0,13039224	4851	1	BP
GO:0048711	positive regulation of astrocyte differentiation	1/41	13/18870	0,027889335	0,17147337	0,13039224	4851	1	BP
GO:0070278	extracellular matrix constituent secretion	1/41	13/18870	0,027889335	0,17147337	0,13039224	4851	1	BP
GO:0071801	regulation of podosome assembly	1/41	13/18870	0,027889335	0,17147337	0,13039224	64147	1	BP
GO:1904748	regulation of apoptotic process involved in development	1/41	13/18870	0,027889335	0,17147337	0,13039224	4851	1	BP
GO:0046660	female sex differentiation	2/41	120/18870	0,027984422	0,17147337	0,13039224	675/4851	2	BP
GO:0051702	biological process involved in interaction with symbiont	2/41	121/18870	0,028416173	0,17147337	0,13039224	4583/55808	2	BP
GO:0007613	memory	2/41	123/18870	0,029287739	0,17147337	0,13039224	3710/7436	2	BP
GO:0043244	regulation of protein-containing complex disassembly	2/41	123/18870	0,029287739	0,17147337	0,13039224	6712/6708	2	BP
GO:0000722	telomere maintenance via recombination	1/41	14/18870	0,030002955	0,17147337	0,13039224	675	1	BP
GO:0001833	inner cell mass cell proliferation	1/41	14/18870	0,030002955	0,17147337	0,13039224	675	1	BP
GO:0003222	ventricular trabecula myocardium morphogenesis	1/41	14/18870	0,030002955	0,17147337	0,13039224	4851	1	BP
GO:0010225	response to UV-C	1/41	14/18870	0,030002955	0,17147337	0,13039224	675	1	BP
GO:0035791	platelet-derived growth factor receptor-beta signaling pathway	1/41	14/18870	0,030002955	0,17147337	0,13039224	5159	1	BP
GO:0045605	negative regulation of epidermal cell differentiation	1/41	14/18870	0,030002955	0,17147337	0,13039224	4851	1	BP
GO:0045683	negative regulation of epidermis development	1/41	14/18870	0,030002955	0,17147337	0,13039224	4851	1	BP
GO:0048715	negative regulation of oligodendrocyte differentiation	1/41	14/18870	0,030002955	0,17147337	0,13039224	4851	1	BP
GO:0051231	spindle elongation	1/41	14/18870	0,030002955	0,17147337	0,13039224	9055	1	BP
GO:0051255	spindle midzone assembly	1/41	14/18870	0,030002955	0,17147337	0,13039224	9055	1	BP
GO:0060354	negative regulation of cell adhesion molecule production	1/41	14/18870	0,030002955	0,17147337	0,13039224	4851	1	BP
GO:0060837	blood vessel endothelial cell differentiation	1/41	14/18870	0,030002955	0,17147337	0,13039224	4851	1	BP
GO:0070986	left/right axis specification	1/41	14/18870	0,030002955	0,17147337	0,13039224	4851	1	BP
GO:0099150	regulation of postsynaptic specialization assembly	1/41	14/18870	0,030002955	0,17147337	0,13039224	6712	1	BP
GO:1901533	negative regulation of hematopoietic progenitor cell differentiation	1/41	14/18870	0,030002955	0,17147337	0,13039224	4851	1	BP
GO:1904321	response to forskolin	1/41	14/18870	0,030002955	0,17147337	0,13039224	1080	1	BP
GO:1904322	cellular response to forskolin	1/41	14/18870	0,030002955	0,17147337	0,13039224	1080	1	BP
GO:2000650	negative regulation of sodium ion transmembrane transporter activity	1/41	14/18870	0,030002955	0,17147337	0,13039224	23327	1	BP
GO:0072089	stem cell proliferation	2/41	125/18870	0,030169969	0,17147337	0,13039224	675/4851	2	BP
GO:0098773	skin epidermis development	2/41	128/18870	0,031513084	0,17147337	0,13039224	388697/4851	2	BP
GO:0003198	epithelial to mesenchymal transition involved in endocardial cushion formation	1/41	15/18870	0,032112092	0,17147337	0,13039224	4851	1	BP
GO:0033147	negative regulation of intracellular estrogen receptor signaling pathway	1/41	15/18870	0,032112092	0,17147337	0,13039224	672	1	BP
GO:0033599	regulation of mammary gland epithelial cell proliferation	1/41	15/18870	0,032112092	0,17147337	0,13039224	675	1	BP
GO:0048302	regulation of isotype switching to IgG isotypes	1/41	15/18870	0,032112092	0,17147337	0,13039224	4436	1	BP
GO:0071732	cellular response to nitric oxide	1/41	15/18870	0,032112092	0,17147337	0,13039224	498	1	BP
GO:0072044	collecting duct development	1/41	15/18870	0,032112092	0,17147337	0,13039224	4851	1	BP
GO:0072148	epithelial cell fate commitment	1/41	15/18870	0,032112092	0,17147337	0,13039224	4851	1	BP
GO:0090280	positive regulation of calcium ion import	1/41	15/18870	0,032112092	0,17147337	0,13039224	5159	1	BP
GO:1902306	negative regulation of sodium ion transmembrane transport	1/41	15/18870	0,032112092	0,17147337	0,13039224	23327	1	BP
GO:1903054	negative regulation of extracellular matrix organization	1/41	15/18870	0,032112092	0,17147337	0,13039224	4851	1	BP
GO:2000671	regulation of motor neuron apoptotic process	1/41	15/18870	0,032112092	0,17147337	0,13039224	2065	1	BP
GO:2001028	positive regulation of endothelial cell chemotaxis	1/41	15/18870	0,032112092	0,17147337	0,13039224	2260	1	BP
GO:0007052	mitotic spindle organization	2/41	130/18870	0,032421522	0,17147337	0,13039224	11200/9055	2	BP
GO:0010595	positive regulation of endothelial cell migration	2/41	130/18870	0,032421522	0,17147337	0,13039224	2260/498	2	BP
GO:0045229	external encapsulating structure organization	3/41	323/18870	0,032819573	0,17147337	0,13039224	388697/64147/4851	3	BP
GO:0031647	regulation of protein stability	3/41	325/18870	0,033336158	0,17147337	0,13039224	11200/23327/51339	3	BP
GO:1903322	positive regulation of protein modification by small protein conjugation or removal	2/41	132/18870	0,033340264	0,17147337	0,13039224	672/57697	2	BP
GO:0051225	spindle assembly	2/41	133/18870	0,033803466	0,17147337	0,13039224	11200/9055	2	BP
GO:0060485	mesenchyme development	3/41	327/18870	0,033857018	0,17147337	0,13039224	2260/2065/4851	3	BP
GO:0003188	heart valve formation	1/41	16/18870	0,034216754	0,17147337	0,13039224	4851	1	BP
GO:0003214	cardiac left ventricle morphogenesis	1/41	16/18870	0,034216754	0,17147337	0,13039224	4851	1	BP
GO:0010273	detoxification of copper ion	1/41	16/18870	0,034216754	0,17147337	0,13039224	4583	1	BP
GO:0010832	negative regulation of myotube differentiation	1/41	16/18870	0,034216754	0,17147337	0,13039224	4851	1	BP
GO:0032354	response to follicle-stimulating hormone	1/41	16/18870	0,034216754	0,17147337	0,13039224	4851	1	BP
GO:0048291	isotype switching to IgG isotypes	1/41	16/18870	0,034216754	0,17147337	0,13039224	4436	1	BP
GO:0060841	venous blood vessel development	1/41	16/18870	0,034216754	0,17147337	0,13039224	4851	1	BP
GO:0061101	neuroendocrine cell differentiation	1/41	16/18870	0,034216754	0,17147337	0,13039224	4851	1	BP
GO:0070254	mucus secretion	1/41	16/18870	0,034216754	0,17147337	0,13039224	4583	1	BP
GO:0071380	cellular response to prostaglandin E stimulus	1/41	16/18870	0,034216754	0,17147337	0,13039224	31	1	BP
GO:0072520	seminiferous tubule development	1/41	16/18870	0,034216754	0,17147337	0,13039224	83990	1	BP
GO:1900006	positive regulation of dendrite development	1/41	16/18870	0,034216754	0,17147337	0,13039224	7436	1	BP
GO:1902969	mitotic DNA replication	1/41	16/18870	0,034216754	0,17147337	0,13039224	675	1	BP
GO:1990169	stress response to copper ion	1/41	16/18870	0,034216754	0,17147337	0,13039224	4583	1	BP
GO:2000095	regulation of Wnt signaling pathway, planar cell polarity pathway	1/41	16/18870	0,034216754	0,17147337	0,13039224	51339	1	BP
GO:2000758	positive regulation of peptidyl-lysine acetylation	1/41	16/18870	0,034216754	0,17147337	0,13039224	672	1	BP
GO:0007586	digestion	2/41	134/18870	0,034269206	0,17147337	0,13039224	4585/4583	2	BP
GO:0030317	flagellated sperm motility	2/41	134/18870	0,034269206	0,17147337	0,13039224	64147/255101	2	BP
GO:0048565	digestive tract development	2/41	134/18870	0,034269206	0,17147337	0,13039224	51339/4851	2	BP
GO:0097722	sperm motility	2/41	134/18870	0,034269206	0,17147337	0,13039224	64147/255101	2	BP
GO:0030833	regulation of actin filament polymerization	2/41	136/18870	0,035208249	0,17147337	0,13039224	6712/6708	2	BP
GO:0071333	cellular response to glucose stimulus	2/41	136/18870	0,035208249	0,17147337	0,13039224	1080/26137	2	BP
GO:0071214	cellular response to abiotic stimulus	3/41	334/18870	0,035713635	0,17147337	0,13039224	675/11200/672	3	BP
GO:0104004	cellular response to environmental stimulus	3/41	334/18870	0,035713635	0,17147337	0,13039224	675/11200/672	3	BP
GO:0007098	centrosome cycle	2/41	138/18870	0,036157292	0,17147337	0,13039224	675/672	2	BP
GO:0071331	cellular response to hexose stimulus	2/41	138/18870	0,036157292	0,17147337	0,13039224	1080/26137	2	BP
GO:0000712	resolution of meiotic recombination intermediates	1/41	17/18870	0,036316951	0,17147337	0,13039224	57697	1	BP
GO:0072224	metanephric glomerulus development	1/41	17/18870	0,036316951	0,17147337	0,13039224	5159	1	BP
GO:0090399	replicative senescence	1/41	17/18870	0,036316951	0,17147337	0,13039224	11200	1	BP
GO:0097396	response to interleukin-17	1/41	17/18870	0,036316951	0,17147337	0,13039224	4851	1	BP
GO:0097398	cellular response to interleukin-17	1/41	17/18870	0,036316951	0,17147337	0,13039224	4851	1	BP
GO:1902170	cellular response to reactive nitrogen species	1/41	17/18870	0,036316951	0,17147337	0,13039224	498	1	BP
GO:2000136	regulation of cell proliferation involved in heart morphogenesis	1/41	17/18870	0,036316951	0,17147337	0,13039224	4851	1	BP
GO:0015980	energy derivation by oxidation of organic compounds	3/41	337/18870	0,036525292	0,17147337	0,13039224	4436/8987/498	3	BP
GO:0032956	regulation of actin cytoskeleton organization	3/41	337/18870	0,036525292	0,17147337	0,13039224	6712/6708/5159	3	BP
GO:0033674	positive regulation of kinase activity	3/41	337/18870	0,036525292	0,17147337	0,13039224	2260/5159/2065	3	BP
GO:0048813	dendrite morphogenesis	2/41	139/18870	0,036635532	0,17147337	0,13039224	7436/23327	2	BP
GO:0042063	gliogenesis	3/41	338/18870	0,036797968	0,17147337	0,13039224	1030/2065/4851	3	BP
GO:0000086	G2/M transition of mitotic cell cycle	2/41	140/18870	0,037116235	0,17147337	0,13039224	11200/672	2	BP
GO:0008203	cholesterol metabolic process	2/41	140/18870	0,037116235	0,17147337	0,13039224	1080/7436	2	BP
GO:0071326	cellular response to monosaccharide stimulus	2/41	140/18870	0,037116235	0,17147337	0,13039224	1080/26137	2	BP
GO:0071902	positive regulation of protein serine/threonine kinase activity	2/41	140/18870	0,037116235	0,17147337	0,13039224	2260/5159	2	BP
GO:0090090	negative regulation of canonical Wnt signaling pathway	2/41	140/18870	0,037116235	0,17147337	0,13039224	51339/4851	2	BP
GO:0019216	regulation of lipid metabolic process	3/41	342/18870	0,03789927	0,17147337	0,13039224	672/5159/26137	3	BP
GO:0001889	liver development	2/41	142/18870	0,038084978	0,17147337	0,13039224	1030/4851	2	BP
GO:0043405	regulation of MAP kinase activity	2/41	142/18870	0,038084978	0,17147337	0,13039224	2260/5159	2	BP
GO:0005980	glycogen catabolic process	1/41	18/18870	0,038412692	0,17147337	0,13039224	8987	1	BP
GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	1/41	18/18870	0,038412692	0,17147337	0,13039224	11200	1	BP
GO:0010002	cardioblast differentiation	1/41	18/18870	0,038412692	0,17147337	0,13039224	4851	1	BP
GO:0010766	negative regulation of sodium ion transport	1/41	18/18870	0,038412692	0,17147337	0,13039224	23327	1	BP
GO:0016202	regulation of striated muscle tissue development	1/41	18/18870	0,038412692	0,17147337	0,13039224	2065	1	BP
GO:0035065	regulation of histone acetylation	1/41	18/18870	0,038412692	0,17147337	0,13039224	672	1	BP
GO:0038128	ERBB2 signaling pathway	1/41	18/18870	0,038412692	0,17147337	0,13039224	2065	1	BP
GO:0044070	regulation of monoatomic anion transport	1/41	18/18870	0,038412692	0,17147337	0,13039224	1080	1	BP
GO:0061323	cell proliferation involved in heart morphogenesis	1/41	18/18870	0,038412692	0,17147337	0,13039224	4851	1	BP
GO:0070200	establishment of protein localization to telomere	1/41	18/18870	0,038412692	0,17147337	0,13039224	675	1	BP
GO:0071371	cellular response to gonadotropin stimulus	1/41	18/18870	0,038412692	0,17147337	0,13039224	4851	1	BP
GO:2000811	negative regulation of anoikis	1/41	18/18870	0,038412692	0,17147337	0,13039224	4851	1	BP
GO:0045834	positive regulation of lipid metabolic process	2/41	145/18870	0,039556254	0,172556343	0,131215758	5159/26137	2	BP
GO:0050921	positive regulation of chemotaxis	2/41	145/18870	0,039556254	0,172556343	0,131215758	2260/5159	2	BP
GO:0061008	hepaticobiliary system development	2/41	145/18870	0,039556254	0,172556343	0,131215758	1030/4851	2	BP
GO:0055123	digestive system development	2/41	146/18870	0,040051474	0,172556343	0,131215758	51339/4851	2	BP
GO:0003184	pulmonary valve morphogenesis	1/41	19/18870	0,040503986	0,172556343	0,131215758	4851	1	BP
GO:0009251	glucan catabolic process	1/41	19/18870	0,040503986	0,172556343	0,131215758	8987	1	BP
GO:0021692	cerebellar Purkinje cell layer morphogenesis	1/41	19/18870	0,040503986	0,172556343	0,131215758	6712	1	BP
GO:0032516	positive regulation of phosphoprotein phosphatase activity	1/41	19/18870	0,040503986	0,172556343	0,131215758	5159	1	BP
GO:0045603	positive regulation of endothelial cell differentiation	1/41	19/18870	0,040503986	0,172556343	0,131215758	4851	1	BP
GO:0045618	positive regulation of keratinocyte differentiation	1/41	19/18870	0,040503986	0,172556343	0,131215758	4851	1	BP
GO:0055003	cardiac myofibril assembly	1/41	19/18870	0,040503986	0,172556343	0,131215758	5159	1	BP
GO:0060039	pericardium development	1/41	19/18870	0,040503986	0,172556343	0,131215758	4851	1	BP
GO:0061298	retina vasculature development in camera-type eye	1/41	19/18870	0,040503986	0,172556343	0,131215758	5159	1	BP
GO:0071800	podosome assembly	1/41	19/18870	0,040503986	0,172556343	0,131215758	64147	1	BP
GO:0071456	cellular response to hypoxia	2/41	147/18870	0,04054907	0,172556343	0,131215758	83990/4851	2	BP
GO:0098656	monoatomic anion transmembrane transport	2/41	147/18870	0,04054907	0,172556343	0,131215758	4363/1080	2	BP
GO:2000377	regulation of reactive oxygen species metabolic process	2/41	147/18870	0,04054907	0,172556343	0,131215758	672/5159	2	BP
GO:0006119	oxidative phosphorylation	2/41	148/18870	0,04104903	0,17343082	0,131880729	4436/498	2	BP
GO:0050768	negative regulation of neurogenesis	2/41	149/18870	0,041551343	0,17343082	0,131880729	1030/4851	2	BP
GO:0008584	male gonad development	2/41	150/18870	0,042055997	0,17343082	0,131880729	4436/83990	2	BP
GO:1902652	secondary alcohol metabolic process	2/41	150/18870	0,042055997	0,17343082	0,131880729	1080/7436	2	BP
GO:0090287	regulation of cellular response to growth factor stimulus	3/41	357/18870	0,04217944	0,17343082	0,131880729	1030/2260/4851	3	BP
GO:0046546	development of primary male sexual characteristics	2/41	151/18870	0,042562979	0,17343082	0,131880729	4436/83990	2	BP
GO:0071322	cellular response to carbohydrate stimulus	2/41	151/18870	0,042562979	0,17343082	0,131880729	1080/26137	2	BP
GO:0003215	cardiac right ventricle morphogenesis	1/41	20/18870	0,042590843	0,17343082	0,131880729	4851	1	BP
GO:0060353	regulation of cell adhesion molecule production	1/41	20/18870	0,042590843	0,17343082	0,131880729	4851	1	BP
GO:0070242	thymocyte apoptotic process	1/41	20/18870	0,042590843	0,17343082	0,131880729	11200	1	BP
GO:0071731	response to nitric oxide	1/41	20/18870	0,042590843	0,17343082	0,131880729	498	1	BP
GO:1901317	regulation of flagellated sperm motility	1/41	20/18870	0,042590843	0,17343082	0,131880729	64147	1	BP
GO:0009411	response to UV	2/41	152/18870	0,043072278	0,17343082	0,131880729	675/4436	2	BP
GO:0010639	negative regulation of organelle organization	3/41	363/18870	0,043957498	0,17343082	0,131880729	672/6712/6708	3	BP
GO:0008064	regulation of actin polymerization or depolymerization	2/41	154/18870	0,044097777	0,17343082	0,131880729	6712/6708	2	BP
GO:0016125	sterol metabolic process	2/41	154/18870	0,044097777	0,17343082	0,131880729	1080/7436	2	BP
GO:0031023	microtubule organizing center organization	2/41	154/18870	0,044097777	0,17343082	0,131880729	675/672	2	BP
GO:0042176	regulation of protein catabolic process	3/41	364/18870	0,044257484	0,17343082	0,131880729	11200/23327/51339	3	BP
GO:0007584	response to nutrient	2/41	155/18870	0,044613955	0,17343082	0,131880729	83990/1030	2	BP
GO:0044839	cell cycle G2/M phase transition	2/41	155/18870	0,044613955	0,17343082	0,131880729	11200/672	2	BP
GO:0051961	negative regulation of nervous system development	2/41	155/18870	0,044613955	0,17343082	0,131880729	1030/4851	2	BP
GO:0000272	polysaccharide catabolic process	1/41	21/18870	0,044673271	0,17343082	0,131880729	8987	1	BP
GO:0000729	DNA double-strand break processing	1/41	21/18870	0,044673271	0,17343082	0,131880729	83990	1	BP
GO:0010224	response to UV-B	1/41	21/18870	0,044673271	0,17343082	0,131880729	4436	1	BP
GO:0032495	response to muramyl dipeptide	1/41	21/18870	0,044673271	0,17343082	0,131880729	4851	1	BP
GO:0033962	P-body assembly	1/41	21/18870	0,044673271	0,17343082	0,131880729	9924	1	BP
GO:0043552	positive regulation of phosphatidylinositol 3-kinase activity	1/41	21/18870	0,044673271	0,17343082	0,131880729	5159	1	BP
GO:0070166	enamel mineralization	1/41	21/18870	0,044673271	0,17343082	0,131880729	1080	1	BP
GO:0070886	positive regulation of calcineurin-NFAT signaling cascade	1/41	21/18870	0,044673271	0,17343082	0,131880729	2065	1	BP
GO:0071379	cellular response to prostaglandin stimulus	1/41	21/18870	0,044673271	0,17343082	0,131880729	31	1	BP
GO:0097049	motor neuron apoptotic process	1/41	21/18870	0,044673271	0,17343082	0,131880729	2065	1	BP
GO:0097501	stress response to metal ion	1/41	21/18870	0,044673271	0,17343082	0,131880729	4583	1	BP
GO:0106058	positive regulation of calcineurin-mediated signaling	1/41	21/18870	0,044673271	0,17343082	0,131880729	2065	1	BP
GO:1901201	regulation of extracellular matrix assembly	1/41	21/18870	0,044673271	0,17343082	0,131880729	4851	1	BP
GO:2000047	regulation of cell-cell adhesion mediated by cadherin	1/41	21/18870	0,044673271	0,17343082	0,131880729	4851	1	BP
GO:0072006	nephron development	2/41	156/18870	0,045132401	0,174775222	0,132903044	5159/4851	2	BP
GO:0001678	intracellular glucose homeostasis	2/41	157/18870	0,045653105	0,175771197	0,133660406	1080/26137	2	BP
GO:0030832	regulation of actin filament length	2/41	157/18870	0,045653105	0,175771197	0,133660406	6712/6708	2	BP
GO:0036294	cellular response to decreased oxygen levels	2/41	158/18870	0,046176054	0,175771197	0,133660406	83990/4851	2	BP
GO:0060294	cilium movement involved in cell motility	2/41	158/18870	0,046176054	0,175771197	0,133660406	64147/255101	2	BP
GO:2001236	regulation of extrinsic apoptotic signaling pathway	2/41	158/18870	0,046176054	0,175771197	0,133660406	672/2260	2	BP
GO:0010631	epithelial cell migration	3/41	372/18870	0,046694646	0,175771197	0,133660406	2260/498/4851	3	BP
GO:0060041	retina development in camera-type eye	2/41	159/18870	0,046701237	0,175771197	0,133660406	5159/4851	2	BP
GO:1901875	positive regulation of post-translational protein modification	2/41	159/18870	0,046701237	0,175771197	0,133660406	672/57697	2	BP
GO:0001832	blastocyst growth	1/41	22/18870	0,04675128	0,175771197	0,133660406	675	1	BP
GO:0045821	positive regulation of glycolytic process	1/41	22/18870	0,04675128	0,175771197	0,133660406	26137	1	BP
GO:0061687	detoxification of inorganic compound	1/41	22/18870	0,04675128	0,175771197	0,133660406	4583	1	BP
GO:0072111	cell proliferation involved in kidney development	1/41	22/18870	0,04675128	0,175771197	0,133660406	5159	1	BP
GO:0006644	phospholipid metabolic process	3/41	375/18870	0,0476256	0,176908952	0,13452558	284098/5159/283748	3	BP
GO:0090132	epithelium migration	3/41	375/18870	0,0476256	0,176908952	0,13452558	2260/498/4851	3	BP
GO:0006606	protein import into nucleus	2/41	161/18870	0,047758259	0,176908952	0,13452558	79711/4851	2	BP
GO:0021915	neural tube development	2/41	162/18870	0,048290075	0,176908952	0,13452558	51339/4851	2	BP
GO:0001539	cilium or flagellum-dependent cell motility	2/41	163/18870	0,048824078	0,176908952	0,13452558	64147/255101	2	BP
GO:0016052	carbohydrate catabolic process	2/41	163/18870	0,048824078	0,176908952	0,13452558	8987/26137	2	BP
GO:0043524	negative regulation of neuron apoptotic process	2/41	163/18870	0,048824078	0,176908952	0,13452558	4436/2065	2	BP
GO:0060285	cilium-dependent cell motility	2/41	163/18870	0,048824078	0,176908952	0,13452558	64147/255101	2	BP
GO:1902850	microtubule cytoskeleton organization involved in mitosis	2/41	163/18870	0,048824078	0,176908952	0,13452558	11200/9055	2	BP
GO:0003177	pulmonary valve development	1/41	23/18870	0,04882488	0,176908952	0,13452558	4851	1	BP
GO:0036120	cellular response to platelet-derived growth factor stimulus	1/41	23/18870	0,04882488	0,176908952	0,13452558	5159	1	BP
GO:0046599	regulation of centriole replication	1/41	23/18870	0,04882488	0,176908952	0,13452558	672	1	BP
GO:0048634	regulation of muscle organ development	1/41	23/18870	0,04882488	0,176908952	0,13452558	2065	1	BP
GO:0060352	cell adhesion molecule production	1/41	23/18870	0,04882488	0,176908952	0,13452558	4851	1	BP
GO:0097150	neuronal stem cell population maintenance	1/41	23/18870	0,04882488	0,176908952	0,13452558	4851	1	BP
GO:0032970	regulation of actin filament-based process	3/41	379/18870	0,048881234	0,176908952	0,13452558	6712/6708/5159	3	BP
GO:0090130	tissue migration	3/41	380/18870	0,0491977	0,177639248	0,135080913	2260/498/4851	3	BP
GO:0035051	cardiocyte differentiation	2/41	165/18870	0,049898602	0,179478895	0,136479823	5159/4851	2	BP
GO:0051170	import into nucleus	2/41	166/18870	0,0504391	0,179478895	0,136479823	79711/4851	2	BP
GO:0002320	lymphoid progenitor cell differentiation	1/41	24/18870	0,050894078	0,179478895	0,136479823	4851	1	BP
GO:0034695	response to prostaglandin E	1/41	24/18870	0,050894078	0,179478895	0,136479823	31	1	BP
GO:0071549	cellular response to dexamethasone stimulus	1/41	24/18870	0,050894078	0,179478895	0,136479823	498	1	BP
GO:1901863	positive regulation of muscle tissue development	1/41	24/18870	0,050894078	0,179478895	0,136479823	2065	1	BP
GO:1903861	positive regulation of dendrite extension	1/41	24/18870	0,050894078	0,179478895	0,136479823	23327	1	BP
GO:2000209	regulation of anoikis	1/41	24/18870	0,050894078	0,179478895	0,136479823	4851	1	BP
GO:0030041	actin filament polymerization	2/41	167/18870	0,050981739	0,179478895	0,136479823	6712/6708	2	BP
GO:0048639	positive regulation of developmental growth	2/41	167/18870	0,050981739	0,179478895	0,136479823	23327/4851	2	BP
GO:1902904	negative regulation of supramolecular fiber organization	2/41	167/18870	0,050981739	0,179478895	0,136479823	6712/6708	2	BP
GO:0006633	fatty acid biosynthetic process	2/41	168/18870	0,051526509	0,180985402	0,137625405	672/31	2	BP
GO:0046486	glycerolipid metabolic process	3/41	390/18870	0,052418295	0,183279373	0,139369792	284098/5159/283748	3	BP
GO:0036119	response to platelet-derived growth factor	1/41	25/18870	0,052958884	0,183279373	0,139369792	5159	1	BP
GO:0045662	negative regulation of myoblast differentiation	1/41	25/18870	0,052958884	0,183279373	0,139369792	4851	1	BP
GO:1901985	positive regulation of protein acetylation	1/41	25/18870	0,052958884	0,183279373	0,139369792	672	1	BP
GO:1903306	negative regulation of regulated secretory pathway	1/41	25/18870	0,052958884	0,183279373	0,139369792	4851	1	BP
GO:0001701	in utero embryonic development	3/41	392/18870	0,053074555	0,183279373	0,139369792	675/4436/4851	3	BP
GO:0030856	regulation of epithelial cell differentiation	2/41	171/18870	0,053173489	0,183279373	0,139369792	1030/4851	2	BP
GO:0006820	monoatomic anion transport	2/41	172/18870	0,053726669	0,183279373	0,139369792	4363/1080	2	BP
GO:0051048	negative regulation of secretion	2/41	172/18870	0,053726669	0,183279373	0,139369792	2065/4851	2	BP
GO:0030178	negative regulation of Wnt signaling pathway	2/41	173/18870	0,054281923	0,183279373	0,139369792	51339/4851	2	BP
GO:0046661	male sex differentiation	2/41	174/18870	0,05483924	0,183279373	0,139369792	4436/83990	2	BP
GO:0071453	cellular response to oxygen levels	2/41	174/18870	0,05483924	0,183279373	0,139369792	83990/4851	2	BP
GO:0003181	atrioventricular valve morphogenesis	1/41	26/18870	0,055019308	0,183279373	0,139369792	4851	1	BP
GO:0033598	mammary gland epithelial cell proliferation	1/41	26/18870	0,055019308	0,183279373	0,139369792	675	1	BP
GO:0045717	negative regulation of fatty acid biosynthetic process	1/41	26/18870	0,055019308	0,183279373	0,139369792	672	1	BP
GO:0048015	phosphatidylinositol-mediated signaling	1/41	26/18870	0,055019308	0,183279373	0,139369792	2260	1	BP
GO:0060561	apoptotic process involved in morphogenesis	1/41	26/18870	0,055019308	0,183279373	0,139369792	4851	1	BP
GO:0060740	prostate gland epithelium morphogenesis	1/41	26/18870	0,055019308	0,183279373	0,139369792	4851	1	BP
GO:0061311	cell surface receptor signaling pathway involved in heart development	1/41	26/18870	0,055019308	0,183279373	0,139369792	4851	1	BP
GO:0090218	positive regulation of lipid kinase activity	1/41	26/18870	0,055019308	0,183279373	0,139369792	5159	1	BP
GO:0097186	amelogenesis	1/41	26/18870	0,055019308	0,183279373	0,139369792	1080	1	BP
GO:1901017	negative regulation of potassium ion transmembrane transporter activity	1/41	26/18870	0,055019308	0,183279373	0,139369792	23327	1	BP
GO:2000050	regulation of non-canonical Wnt signaling pathway	1/41	26/18870	0,055019308	0,183279373	0,139369792	51339	1	BP
GO:2000737	negative regulation of stem cell differentiation	1/41	26/18870	0,055019308	0,183279373	0,139369792	4851	1	BP
GO:0031214	biomineral tissue development	2/41	175/18870	0,05539861	0,183752561	0,139729616	1080/4851	2	BP
GO:0055088	lipid homeostasis	2/41	175/18870	0,05539861	0,183752561	0,139729616	31/26137	2	BP
GO:0010634	positive regulation of epithelial cell migration	2/41	176/18870	0,05596002	0,185210779	0,140838478	2260/498	2	BP
GO:0006631	fatty acid metabolic process	3/41	401/18870	0,056077376	0,185210779	0,140838478	672/283748/31	3	BP
GO:0030216	keratinocyte differentiation	2/41	177/18870	0,056523461	0,185389388	0,140974296	388697/4851	2	BP
GO:0007141	male meiosis I	1/41	27/18870	0,057075358	0,185389388	0,140974296	675	1	BP
GO:0046949	fatty-acyl-CoA biosynthetic process	1/41	27/18870	0,057075358	0,185389388	0,140974296	31	1	BP
GO:0071480	cellular response to gamma radiation	1/41	27/18870	0,057075358	0,185389388	0,140974296	11200	1	BP
GO:0098698	postsynaptic specialization assembly	1/41	27/18870	0,057075358	0,185389388	0,140974296	6712	1	BP
GO:1903859	regulation of dendrite extension	1/41	27/18870	0,057075358	0,185389388	0,140974296	23327	1	BP
GO:1905564	positive regulation of vascular endothelial cell proliferation	1/41	27/18870	0,057075358	0,185389388	0,140974296	2260	1	BP
GO:0001837	epithelial to mesenchymal transition	2/41	178/18870	0,057088921	0,185389388	0,140974296	2260/4851	2	BP
GO:0001936	regulation of endothelial cell proliferation	2/41	181/18870	0,058797306	0,186913859	0,142133538	2260/498	2	BP
GO:0003272	endocardial cushion formation	1/41	28/18870	0,059127044	0,186913859	0,142133538	4851	1	BP
